timestamp,account,pnl
07:23:14,VET2,ERR
07:26:54,VET2,0.00
07:31:54,VET2,0.00
07:36:54,VET2,0.00
07:40:14,CS3-VET2,0.00
07:45:14,CS3-VET2,0.00
07:50:14,CS3-VET2,0.00
07:55:14,CS3-VET2,0.00
08:00:15,CS3-VET2,0.00
08:41:18,CS3-VET2,0.00
08:46:21,CS3-VET2,0.00
08:51:23,CS3-VET2,0.00
08:56:25,CS3-VET2,0.00
09:42:05,CS3-VET2,7.26
09:47:07,CS3-VET2,10.02
09:52:10,CS3-VET2,15.01
09:57:12,CS3-VET2,18.15
10:02:14,CS3-VET2,7.00
10:07:16,CS3-VET2,7.00
10:12:18,CS3-VET2,ERR
10:17:20,CS3-VET2,-0.73
10:22:23,CS3-VET2,25.44
10:27:25,CS3-VET2,22.86
10:32:27,CS3-VET2,23.98
10:37:29,CS3-VET2,-11.98
10:42:32,CS3-VET2,-7.98
10:47:33,CS3-VET2,-4.48
10:52:34,CS3-VET2,-1.35
10:57:37,CS3-VET2,2.39
11:02:39,CS3-VET2,6.89
11:07:42,CS3-VET2,10.52
11:12:45,CS3-VET2,13.68
11:17:46,CS3-VET2,15.90
11:22:49,CS3-VET2,20.65
11:27:52,CS3-VET2,22.29
11:32:55,CS3-VET2,26.52
11:37:58,CS3-VET2,28.93
11:43:01,CS3-VET2,34.40
11:48:04,CS3-VET2,36.25
11:53:06,CS3-VET2,38.08
11:58:09,CS3-VET2,43.03
12:03:11,CS3-VET2,45.56
12:08:13,CS3-VET2,48.91
12:13:15,CS3-VET2,53.24
12:18:18,CS3-VET2,54.65
12:23:20,CS3-VET2,57.03
12:26:28,CS3-VET2,56.68
12:31:29,CS3-VET2,62.44
12:36:32,CS3-VET2,65.20
12:41:34,CS3-VET2,68.06
12:46:36,CS3-VET2,72.56
12:51:39,CS3-VET2,76.42
12:56:42,CS3-VET2,78.93
13:01:46,CS3-VET2,85.05
13:06:48,CS3-VET2,86.05
13:11:50,CS3-VET2,91.94
13:16:54,CS3-VET2,95.20
13:21:56,CS3-VET2,99.33
13:27:00,CS3-VET2,ERR
13:32:02,CS3-VET2,0.09
13:37:03,CS3-VET2,110.41
13:42:06,CS3-VET2,114.00
13:47:08,CS3-VET2,118.70
13:52:12,CS3-VET2,ERR
13:57:14,CS3-VET2,125.70
14:02:17,CS3-VET2,ERR
14:07:19,CS3-VET2,ERR
14:12:22,CS3-VET2,ERR
14:17:26,CS3-VET2,ERR
14:22:29,CS3-VET2,ERR
14:27:33,CS3-VET2,143.50
14:32:35,CS3-VET2,145.71
14:37:37,CS3-VET2,149.11
14:42:41,CS3-VET2,ERR
14:47:22,CS3-VET2,152.42
14:52:25,CS3-VET2,157.42
14:57:26,CS3-VET2,159.54
15:02:29,CS3-VET2,161.63
15:07:33,CS3-VET2,163.17
15:12:37,CS3-VET2,164.78
15:17:40,CS3-VET2,167.30
15:22:43,CS3-VET2,170.53
15:27:48,CS3-VET2,173.42
15:32:50,CS3-VET2,175.99
15:37:54,CS3-VET2,177.74
15:42:58,CS3-VET2,179.57
15:48:01,CS3-VET2,181.99
15:53:04,CS3-VET2,183.01
15:58:06,CS3-VET2,184.61
16:03:08,CS3-VET2,184.61
16:08:11,CS3-VET2,184.61
07:37:42,CS3-VET2,0.00
07:42:45,CS3-VET2,0.00
07:47:48,CS3-VET2,0.00
07:52:50,CS3-VET2,0.00
09:20:23,CS3-VET2,0.00
09:25:25,CS3-VET2,0.00
09:30:29,CS3-VET2,0.00
09:35:31,CS3-VET2,1.26
09:40:32,CS3-VET2,5.39
09:45:35,CS3-VET2,7.78
09:50:37,CS3-VET2,13.44
09:55:41,CS3-VET2,17.64
10:00:44,CS3-VET2,21.65
10:05:46,CS3-VET2,27.72
10:10:48,CS3-VET2,32.73
10:15:49,CS3-VET2,35.90
10:20:53,CS3-VET2,41.80
10:25:56,CS3-VET2,46.40
10:30:58,CS3-VET2,50.46
10:36:00,CS3-VET2,53.86
10:41:02,CS3-VET2,60.39
10:46:05,CS3-VET2,64.02
10:51:06,CS3-VET2,68.89
10:56:09,CS3-VET2,74.26
11:01:11,CS3-VET2,76.78
11:06:14,CS3-VET2,80.89
11:11:17,CS3-VET2,84.01
11:16:19,CS3-VET2,87.05
11:21:21,CS3-VET2,89.75
11:26:23,CS3-VET2,92.39
11:31:25,CS3-VET2,96.40
11:36:28,CS3-VET2,99.66
11:41:31,CS3-VET2,100.79
11:46:34,CS3-VET2,106.28
11:51:37,CS3-VET2,108.65
11:56:40,CS3-VET2,112.65
12:01:43,CS3-VET2,117.05
12:06:46,CS3-VET2,117.15
