date,timestamp,account,pnl
2026-06-05,08:11:07,CS2-GAB2,0.00
2026-06-05,08:16:07,CS2-GAB2,0.00
2026-06-05,08:21:08,CS2-GAB2,0.00
2026-06-05,08:26:08,CS2-GAB2,0.00
2026-06-05,08:31:08,CS2-GAB2,0.00
2026-06-05,08:36:08,CS2-GAB2,0.00
2026-06-05,08:41:09,CS2-GAB2,0.00
2026-06-05,08:46:09,CS2-GAB2,0.00
2026-06-05,08:51:09,CS2-GAB2,0.00
2026-06-05,08:55:24,CS2-GAB2,0.00
2026-06-05,08:58:48,CS2-GAB2,0.00
2026-06-05,08:59:40,CS2-GAB2,ERR
2026-06-05,09:01:43,CS2-GAB2,ERR
2026-06-05,09:03:27,CS2-GAB2,ERR
2026-06-05,09:04:55,CS2-GAB2,0.00
2026-06-05,09:09:58,CS2-GAB2,0.00
2026-06-05,09:15:00,CS2-GAB2,0.00
2026-06-05,09:20:03,CS2-GAB2,0.00
2026-06-05,09:25:05,CS2-GAB2,0.00
2026-06-05,09:30:08,CS2-GAB2,0.00
2026-06-05,09:35:11,CS2-GAB2,0.00
2026-06-05,09:40:14,CS2-GAB2,7.41
2026-06-05,09:45:16,CS2-GAB2,12.66
2026-06-05,09:50:18,CS2-GAB2,15.01
2026-06-05,09:55:21,CS2-GAB2,22.02
2026-06-05,10:00:23,CS2-GAB2,22.04
2026-06-05,10:05:25,CS2-GAB2,24.52
2026-06-05,10:10:28,CS2-GAB2,25.64
2026-06-05,10:15:30,CS2-GAB2,ERR
2026-06-05,10:20:33,CS2-GAB2,24.88
2026-06-05,10:25:35,CS2-GAB2,24.63
2026-06-05,10:30:38,CS2-GAB2,27.77
2026-06-05,10:35:40,CS2-GAB2,30.28
2026-06-05,10:40:43,CS2-GAB2,31.96
2026-06-05,10:45:46,CS2-GAB2,36.91
2026-06-05,10:50:49,CS2-GAB2,42.75
2026-06-05,10:55:52,CS2-GAB2,44.15
2026-06-05,11:00:55,CS2-GAB2,49.06
2026-06-05,11:05:58,CS2-GAB2,54.85
2026-06-05,11:11:01,CS2-GAB2,60.33
2026-06-05,11:16:03,CS2-GAB2,62.77
2026-06-05,11:21:05,CS2-GAB2,67.33
2026-06-05,11:26:07,CS2-GAB2,70.47
2026-06-05,11:31:10,CS2-GAB2,74.85
2026-06-05,11:36:13,CS2-GAB2,77.61
